ID,Treatment,Block,Plot,Quadrat,X,Y,Shrub,Compass,Distance,Year,Age,Size,Fert
C.I.3.1.20.41,C,I,3,1,20,41,NA,NA,NA,1997,999,18,10
C.I.3.1.38.50,C,I,3,1,38,50,NA,NA,NA,1997,NA,NA,NA
C.I.3.1.43.23,C,I,3,1,43,23,NA,NA,NA,1997,999,35,4
C.I.3.1.57.28,C,I,3,1,57,28,NA,NA,NA,1997,999,13,0
C.I.3.1.83.56,C,I,3,1,83,56,NA,NA,NA,1997,NA,NA,NA
C.I.3.1.83.72,C,I,3,1,83,72,NA,NA,NA,1997,NA,NA,NA
C.I.3.1.85.62,C,I,3,1,85,62,NA,NA,NA,1997,NA,NA,NA
C.I.3.1.92.5,C,I,3,1,92,5,NA,NA,NA,1997,999,17,2
C.I.3.1.92.47,C,I,3,1,92,47,NA,NA,NA,1997,NA,NA,NA
C.I.3.1.100.53,C,I,3,1,100,53,NA,NA,NA,1997,NA,NA,NA
C.I.3.2.11.65,C,I,3,2,11,65,NA,NA,NA,1997,1,6,0
C.I.3.2.30.0,C,I,3,2,30,0,NA,NA,NA,1997,999,15,4
C.I.3.2.40.10,C,I,3,2,40,10,NA,NA,NA,1997,NA,NA,NA
C.I.3.2.68.93,C,I,3,2,68,93,NA,NA,NA,1997,NA,NA,NA
C.I.3.2.70.94,C,I,3,2,70,94,NA,NA,NA,1997,NA,NA,NA
C.I.3.2.71.79,C,I,3,2,71,79,NA,NA,NA,1997,NA,NA,NA
C.I.3.3.4.40,C,I,3,3,4,40,NA,NA,NA,1997,999,19,8
C.I.3.3.5.66,C,I,3,3,5,66,NA,NA,NA,1997,NA,NA,NA
C.I.3.3.10.66,C,I,3,3,10,66,NA,NA,NA,1997,NA,NA,NA
C.I.3.3.12.44,C,I,3,3,12,44,NA,NA,NA,1997,999,39,14
C.I.3.3.54.67,C,I,3,3,54,67,At,80,5,1997,999,41,4
C.I.3.3.65.25,C,I,3,3,65,25,NA,NA,NA,1997,NA,NA,NA
C.I.3.3.81.3,C,I,3,3,81,3,NA,NA,NA,1997,NA,NA,NA
C.I.3.4.26.17,C,I,3,4,26,17,NA,NA,NA,1997,999,10,0
C.I.3.4.29.2,C,I,3,4,29,2,NA,NA,NA,1997,NA,NA,NA
C.I.3.4.36.7,C,I,3,4,36,7,NA,NA,NA,1997,NA,NA,NA
C.I.3.4.43.17,C,I,3,4,43,17,NA,NA,NA,1997,999,13,6
C.I.3.4.47.20,C,I,3,4,47,20,NA,NA,NA,1997,NA,NA,NA
C.I.3.4.85.79,C,I,3,4,85,79,NA,NA,NA,1997,999,17,0
C.I.3.5.6.88,C,I,3,5,6,88,NA,NA,NA,1997,999,11,6
C.I.3.5.21.96,C,I,3,5,21,96,NA,NA,NA,1997,NA,NA,NA
C.I.3.5.36.18,C,I,3,5,36,18,NA,NA,NA,1997,NA,NA,NA
C.I.3.5.36.36,C,I,3,5,36,36,NA,NA,NA,1997,NA,NA,NA
C.I.3.5.36.65,C,I,3,5,36,65,NA,NA,NA,1997,NA,NA,NA
C.I.3.5.45.64,C,I,3,5,45,64,NA,NA,NA,1997,NA,NA,NA
C.I.3.5.54.40,C,I,3,5,54,40,NA,NA,NA,1997,NA,NA,NA
